topic,network,alpha,seed,agent,type,z,z_neighbors,gap,degree
abortion,random,0.0,5,17,Type-L,-0.136273,-0.717556,0.581283,5
abortion,random,0.0,5,18,Type-L,-0.20845,-0.717556,0.509106,5
abortion,random,0.0,5,19,Type-L,-0.06724,-0.717556,0.650316,5
abortion,random,0.0,5,20,Type-L,-0.121706,-0.717556,0.59585,5
abortion,random,0.0,5,21,Type-L,-0.168034,-0.717556,0.549522,5
abortion,random,0.0,5,22,Type-L,-0.717556,-0.717556,0.0,5
abortion,random,0.0,5,23,Type-L,-0.338777,-0.717556,0.378778,5
abortion,random,0.0,5,24,Type-L,-0.274244,-0.717556,0.443312,5
abortion,random,0.0,5,25,Type-L,-0.107256,-0.717556,0.6103,5
abortion,random,0.0,5,26,Type-L,0.004694,-0.717556,0.72225,5
abortion,random,0.0,5,27,Type-L,-0.675835,-0.672261,0.003573,5
abortion,random,0.0,5,28,Type-L,-0.652415,-0.443923,0.208492,5
abortion,random,0.0,5,29,Type-L,-0.675835,-0.672261,0.003573,5
abortion,random,0.0,5,30,Type-L,-0.675835,-0.672261,0.003573,5
abortion,random,0.0,5,31,Type-L,-0.680069,-0.486171,0.193898,5
abortion,random,0.0,5,32,Type-L,-0.677153,-0.717556,0.040403,5
abortion,random,0.0,5,33,Type-L,-0.068398,0.048752,0.117151,5
abortion,random,0.0,5,34,Type-L,-0.03402,-0.045554,0.011534,5
abortion,random,0.0,5,35,Type-L,0.010429,-0.142833,0.153261,5
abortion,random,0.0,5,36,Type-L,0.736163,0.800555,0.064391,5
abortion,random,0.0,5,37,Type-L,0.3299,0.228511,0.101389,5
abortion,random,0.0,5,38,Type-L,0.561269,0.182237,0.379031,5
abortion,random,0.0,5,39,Type-L,0.600185,0.593895,0.00629,5
abortion,random,0.0,5,40,Type-L,0.635991,0.586734,0.049258,5
abortion,random,0.0,5,41,Type-L,0.823591,0.840326,0.016734,5
abortion,random,0.0,5,42,Type-L,0.847733,0.826412,0.021321,5
abortion,random,0.0,5,43,Type-L,0.819708,0.840326,0.020618,5
abortion,random,0.0,5,44,Type-L,0.835439,0.782455,0.052984,5
abortion,random,0.0,5,45,Type-L,0.826662,0.840326,0.013664,5
abortion,random,0.0,5,46,Type-L,0.849002,0.835857,0.013145,5
